"","x"
"1",493
"2",482
"3",480
"4",472
"5",466
"6",460
"7",458
"8",456
"9",455
"10",445
"11",443
"12",438
"13",434
"14",428
"15",421
"16",409
"17",397
"18",387
"19",382
"20",349
"21",344
"22",339
"23",328
"24",325
"25",320
"26",310
"27",289
"28",287
"29",280
"30",274
"31",271
"32",269
"33",264
"34",254
"35",244
"36",240
"37",226
"38",221
"39",201
"40",197
"41",190
"42",187
"43",184
"44",179
"45",174
"46",163
"47",149
"48",148
"49",144
"50",141
"51",139
"52",137
"53",136
"54",127
"55",124
"56",123
"57",122
"58",118
"59",115
"60",110
"61",104
"62",96
"63",81
"64",70
"65",67
"66",55
"67",50
"68",48
"69",46
"70",39
"71",27
"72",13
"73",12
"74",11
"75",499
"76",497
"77",488
"78",484
"79",481
"80",476
"81",464
"82",457
"83",454
"84",437
"85",436
"86",419
"87",414
"88",413
"89",405
"90",398
"91",394
"92",391
"93",383
"94",372
"95",353
"96",350
"97",330
"98",322
"99",316
"100",290
"101",284
"102",283
"103",279
"104",278
"105",261
"106",250
"107",241
"108",239
"109",223
"110",222
"111",214
"112",203
"113",198
"114",192
"115",188
"116",177
"117",151
"118",150
"119",146
"120",142
"121",135
"122",126
"123",125
"124",103
"125",97
"126",89
"127",72
"128",69
"129",56
"130",33
"131",25
"132",19
"133",16
"134",14
"135",490
"136",474
"137",473
"138",471
"139",468
"140",463
"141",459
"142",452
"143",451
"144",447
"145",446
"146",444
"147",441
"148",440
"149",439
"150",429
"151",422
"152",418
"153",417
"154",415
"155",411
"156",406
"157",403
"158",401
"159",400
"160",389
"161",388
"162",377
"163",375
"164",374
"165",369
"166",368
"167",366
"168",358
"169",345
"170",340
"171",337
"172",334
"173",333
"174",332
"175",329
"176",323
"177",321
"178",313
"179",309
"180",307
"181",306
"182",303
"183",302
"184",299
"185",298
"186",293
"187",292
"188",285
"189",282
"190",281
"191",277
"192",275
"193",273
"194",268
"195",265
"196",263
"197",260
"198",258
"199",257
"200",253
"201",252
"202",248
"203",246
"204",243
"205",238
"206",237
"207",236
"208",235
"209",234
"210",233
"211",230
"212",225
"213",224
"214",215
"215",212
"216",210
"217",204
"218",202
"219",199
"220",196
"221",194
"222",186
"223",185
"224",181
"225",178
"226",176
"227",172
"228",171
"229",170
"230",169
"231",168
"232",166
"233",152
"234",143
"235",134
"236",133
"237",132
"238",131
"239",130
"240",129
"241",120
"242",116
"243",114
"244",111
"245",109
"246",108
"247",98
"248",94
"249",92
"250",91
"251",90
"252",86
"253",84
"254",76
"255",74
"256",66
"257",64
"258",63
"259",62
"260",60
"261",59
"262",54
"263",53
"264",51
"265",49
"266",47
"267",44
"268",42
"269",40
"270",37
"271",36
"272",34
"273",32
"274",29
"275",24
"276",23
"277",18
"278",15
"279",9
"280",8
"281",7
"282",3
"283",2
"284",1
