"","x"
"1",499
"2",497
"3",488
"4",484
"5",481
"6",476
"7",464
"8",457
"9",454
"10",437
"11",436
"12",419
"13",414
"14",413
"15",405
"16",398
"17",394
"18",391
"19",383
"20",372
"21",353
"22",350
"23",330
"24",322
"25",316
"26",290
"27",284
"28",283
"29",279
"30",278
"31",261
"32",250
"33",241
"34",239
"35",223
"36",222
"37",214
"38",203
"39",198
"40",192
"41",188
"42",177
"43",151
"44",150
"45",146
"46",142
"47",135
"48",126
"49",125
"50",103
"51",97
"52",89
"53",72
"54",69
"55",56
"56",33
"57",25
"58",19
"59",16
"60",14
